company,square,agent_score,final_score,claim_ids,override_reason
Sweeppea,C01,3,3,SWEEPPEA-012;SWEEPPEA-013;SWEEPPEA-043,
Sweeppea,C02,3,2,SWEEPPEA-012;SWEEPPEA-014,product-type rules limited to alcohol/cannabis/COPPA setup-time guardrails plus a prohibited-category list and human ABC filing service; calibrated to RTM C02=2 whose human coverage (alcohol/pharma/financial) is at least as deep
Sweeppea,C03,2,2,SWEEPPEA-012;SWEEPPEA-007;SWEEPPEA-038,
Sweeppea,C04,1,1,SWEEPPEA-005;SWEEPPEA-012,
Sweeppea,C05,?,?,,
Sweeppea,C06,1,1,SWEEPPEA-036;SWEEPPEA-014,
Sweeppea,C07,1,1,SWEEPPEA-012;SWEEPPEA-014,
Sweeppea,C08,1,1,SWEEPPEA-006;SWEEPPEA-013;SWEEPPEA-037,
Sweeppea,C09,1,1,SWEEPPEA-043,
Sweeppea,C10,1,1,SWEEPPEA-012;SWEEPPEA-014,
Sweeppea,D01,1,1,SWEEPPEA-009;SWEEPPEA-029,
Sweeppea,D02,1,1,SWEEPPEA-029,
Sweeppea,D03,0,0,SWEEPPEA-017;SWEEPPEA-039,
Sweeppea,D04,1,1,SWEEPPEA-008;SWEEPPEA-029,
Sweeppea,D05,0,0,SWEEPPEA-017;SWEEPPEA-016,
Sweeppea,D06,1,1,SWEEPPEA-029,
Sweeppea,D07,2,2,SWEEPPEA-029;SWEEPPEA-027;SWEEPPEA-026,
Sweeppea,D08,1,1,SWEEPPEA-031,
Sweeppea,D09,?,?,,
Sweeppea,D10,1,1,SWEEPPEA-026;SWEEPPEA-030,
Sweeppea,E01,2,2,SWEEPPEA-024;SWEEPPEA-011,
Sweeppea,E02,2,2,SWEEPPEA-022,
Sweeppea,E03,?,?,,
Sweeppea,E04,2,2,SWEEPPEA-021,
Sweeppea,E05,1,1,SWEEPPEA-023,
Sweeppea,E06,?,?,,
Sweeppea,E07,1,1,SWEEPPEA-023,
Sweeppea,E08,2,2,SWEEPPEA-023;SWEEPPEA-008,
Sweeppea,E09,1,1,SWEEPPEA-016;SWEEPPEA-024,
Sweeppea,E10,0,0,SWEEPPEA-018;SWEEPPEA-017,
Sweeppea,F01,1,1,SWEEPPEA-032,
Sweeppea,F02,1,1,SWEEPPEA-032,
Sweeppea,F03,1,1,SWEEPPEA-009,
Sweeppea,F04,1,1,SWEEPPEA-035,
Sweeppea,F05,1,1,SWEEPPEA-004,
Sweeppea,F06,0,0,SWEEPPEA-032;SWEEPPEA-017,
Sweeppea,F07,1,1,SWEEPPEA-009;SWEEPPEA-011,
Sweeppea,F08,0,0,SWEEPPEA-032;SWEEPPEA-017,
Sweeppea,F09,0,0,SWEEPPEA-032;SWEEPPEA-017,
Sweeppea,F10,0,0,SWEEPPEA-032;SWEEPPEA-017,
Sweeppea,G01,2,2,SWEEPPEA-042;SWEEPPEA-026,
Sweeppea,G02,?,?,,
Sweeppea,G03,?,?,,
Sweeppea,G04,0,0,SWEEPPEA-016;SWEEPPEA-017,
Sweeppea,G05,1,1,SWEEPPEA-020;SWEEPPEA-039,
Sweeppea,G06,0,0,SWEEPPEA-017;SWEEPPEA-039,
Sweeppea,G07,1,1,SWEEPPEA-004,
Sweeppea,G08,1,1,SWEEPPEA-019;SWEEPPEA-039,
Sweeppea,G09,1,1,SWEEPPEA-030,
Sweeppea,G10,1,1,SWEEPPEA-030;SWEEPPEA-002,
Sweeppea,H01,3,3,SWEEPPEA-017;SWEEPPEA-016,
Sweeppea,H02,2,2,SWEEPPEA-018;SWEEPPEA-016,
Sweeppea,H03,1,1,SWEEPPEA-019;SWEEPPEA-039,
Sweeppea,H04,1,1,SWEEPPEA-020;SWEEPPEA-039,
Sweeppea,H05,1,1,SWEEPPEA-017;SWEEPPEA-039,
Sweeppea,H06,0,0,SWEEPPEA-039;SWEEPPEA-017,
Sweeppea,H07,1,1,SWEEPPEA-039;SWEEPPEA-030,
Sweeppea,H08,1,1,SWEEPPEA-017,
Sweeppea,H09,2,2,SWEEPPEA-016;SWEEPPEA-026,
Sweeppea,H10,1,1,SWEEPPEA-018,
Sweeppea,I01,2,2,SWEEPPEA-027;SWEEPPEA-006,
Sweeppea,I02,2,2,SWEEPPEA-027;SWEEPPEA-018,
Sweeppea,I03,4,4,SWEEPPEA-025;SWEEPPEA-001,
Sweeppea,I04,0,0,SWEEPPEA-023;SWEEPPEA-017,
Sweeppea,I05,2,2,SWEEPPEA-025;SWEEPPEA-002;SWEEPPEA-003,
Sweeppea,I06,3,3,SWEEPPEA-026;SWEEPPEA-001,
Sweeppea,I07,3,3,SWEEPPEA-037;SWEEPPEA-001,
Sweeppea,I08,1,1,SWEEPPEA-025;SWEEPPEA-037,
Sweeppea,I09,3,1,SWEEPPEA-035;SWEEPPEA-017,direction normalization: agent used 3 to mean LOW integration burden; intensity convention = 1 (hosted pages / turnkey embed)
Sweeppea,I10,4,4,SWEEPPEA-026,
Sweeppea,J01,1,1,SWEEPPEA-014;SWEEPPEA-012,
Sweeppea,J02,0,0,SWEEPPEA-017;SWEEPPEA-016,
Sweeppea,J03,1,1,SWEEPPEA-006;SWEEPPEA-037,
Sweeppea,J04,0,0,SWEEPPEA-012;SWEEPPEA-017,
Sweeppea,J05,0,0,SWEEPPEA-028;SWEEPPEA-017,
Sweeppea,J06,0,0,SWEEPPEA-018;SWEEPPEA-017,
Sweeppea,J07,1,1,SWEEPPEA-029,
Sweeppea,J08,0,0,SWEEPPEA-017;SWEEPPEA-039,
Sweeppea,J09,1,1,SWEEPPEA-014;SWEEPPEA-012,
Sweeppea,J10,0,0,SWEEPPEA-017;SWEEPPEA-016,
Realtime Media,A01,4,4,RTM-001;RTM-002;RTM-023,
Realtime Media,A02,4,4,RTM-002;RTM-006,
Realtime Media,A03,4,4,RTM-017;RTM-012;RTM-020,
Realtime Media,A04,4,4,RTM-003;RTM-004;RTM-019,
Realtime Media,A05,4,4,RTM-003;RTM-019;RTM-033,
Realtime Media,A06,3,3,RTM-005;RTM-030,
Realtime Media,A07,4,4,RTM-002;RTM-028;RTM-030;RTM-035,
Realtime Media,A08,4,4,RTM-006;RTM-007,
Realtime Media,A09,4,4,RTM-008;RTM-027;RTM-029,
Realtime Media,A10,3,3,RTM-007;RTM-024,
Realtime Media,B01,2,2,RTM-009;RTM-011,
Realtime Media,B02,2,2,RTM-037;RTM-017,
Realtime Media,B03,?,?,,
Realtime Media,B04,1,1,RTM-009;RTM-024,
Realtime Media,B05,?,?,,
Realtime Media,B06,2,2,RTM-012;RTM-028,
Realtime Media,B07,2,2,RTM-009;RTM-012,
Realtime Media,B08,?,?,,
Realtime Media,B09,?,?,,
Realtime Media,B10,?,?,,
Realtime Media,C01,2,2,RTM-003;RTM-018,
Realtime Media,C02,2,2,RTM-003,
Realtime Media,C03,1,1,RTM-003;RTM-018,
Realtime Media,C04,1,1,RTM-018,
Realtime Media,C05,?,?,,
Realtime Media,C06,1,1,RTM-018,
Realtime Media,C07,1,1,RTM-016,
Realtime Media,C08,2,2,RTM-019;RTM-003,
Realtime Media,C09,?,?,,
Realtime Media,C10,0,0,RTM-034,
Realtime Media,D01,?,?,,
Realtime Media,D02,1,1,RTM-035;RTM-015,
Realtime Media,D03,?,?,,
Realtime Media,D04,?,?,,
Realtime Media,D05,1,1,RTM-024,
Realtime Media,D06,?,?,,
Realtime Media,D07,1,1,RTM-003;RTM-018,
Realtime Media,D08,?,?,RTM-038,
Realtime Media,D09,?,?,,
Realtime Media,D10,?,?,,
Realtime Media,E01,2,2,RTM-033;RTM-024,
Realtime Media,E02,1,1,RTM-024,
Realtime Media,E03,1,1,RTM-024;RTM-027,
Realtime Media,E04,1,1,RTM-033,
Realtime Media,E05,2,2,RTM-014;RTM-015,
Realtime Media,E06,?,?,,
Realtime Media,E07,3,3,RTM-014;RTM-015,
Realtime Media,E08,2,2,RTM-014;RTM-015,
Realtime Media,E09,1,1,RTM-024;RTM-006,
Realtime Media,E10,?,?,,
Realtime Media,F01,1,1,RTM-011,
Realtime Media,F02,1,1,RTM-009,
Realtime Media,F03,2,2,RTM-007;RTM-027,
Realtime Media,F04,1,1,RTM-012;RTM-027,
Realtime Media,F05,1,1,RTM-027,
Realtime Media,F06,?,?,,
Realtime Media,F07,2,2,RTM-027;RTM-024,
Realtime Media,F08,?,?,,
Realtime Media,F09,2,2,RTM-008;RTM-029,
Realtime Media,F10,2,2,RTM-011;RTM-012,
Realtime Media,G01,2,2,RTM-025;RTM-020,
Realtime Media,G02,?,?,,
Realtime Media,G03,?,?,,
Realtime Media,G04,1,1,RTM-003;RTM-033,
Realtime Media,G05,1,1,RTM-025,
Realtime Media,G06,?,?,,
Realtime Media,G07,1,1,RTM-033;RTM-031,
Realtime Media,G08,?,?,,
Realtime Media,G09,?,?,,
Realtime Media,G10,3,3,RTM-013;RTM-022;RTM-036,
Realtime Media,H01,2,2,RTM-009;RTM-010;RTM-011,
Realtime Media,H02,?,?,,
Realtime Media,H03,?,?,,
Realtime Media,H04,?,?,,
Realtime Media,H05,?,?,,
Realtime Media,H06,?,?,,
Realtime Media,H07,0,0,RTM-010,
Realtime Media,H08,?,?,,
Realtime Media,H09,?,?,RTM-011,
Realtime Media,H10,0,0,RTM-034;RTM-011,
Realtime Media,I01,2,2,RTM-003;RTM-004,
Realtime Media,I02,1,1,RTM-011,
Realtime Media,I03,4,4,RTM-001;RTM-025;RTM-031,
Realtime Media,I04,1,1,RTM-014,
Realtime Media,I05,4,4,RTM-002;RTM-022;RTM-027,
Realtime Media,I06,0,0,RTM-026;RTM-034,
Realtime Media,I07,4,4,RTM-001;RTM-019;RTM-031,
Realtime Media,I08,1,1,RTM-011;RTM-026,
Realtime Media,I09,2,2,RTM-011;RTM-030,
Realtime Media,I10,1,1,RTM-026;RTM-033,
Realtime Media,J01,1,1,RTM-003;RTM-016,
Realtime Media,J02,1,1,RTM-004;RTM-019,
Realtime Media,J03,2,2,RTM-019;RTM-003,
Realtime Media,J04,1,1,RTM-016,
Realtime Media,J05,0,0,RTM-009;RTM-034,
Realtime Media,J06,?,?,,
Realtime Media,J07,1,1,RTM-024;RTM-003,
Realtime Media,J08,?,?,,
Realtime Media,J09,1,1,RTM-004;RTM-033,
Realtime Media,J10,0,0,RTM-034;RTM-003,
ShortStack,A01,4,4,SHORTSTACK-001;SHORTSTACK-007;SHORTSTACK-014,
ShortStack,A02,4,4,SHORTSTACK-001;SHORTSTACK-007;SHORTSTACK-016,
ShortStack,A03,3,3,SHORTSTACK-013;SHORTSTACK-032;SHORTSTACK-007,
ShortStack,A04,2,2,SHORTSTACK-003;SHORTSTACK-030,
ShortStack,A05,1,1,SHORTSTACK-003;SHORTSTACK-017;SHORTSTACK-014,
ShortStack,A06,1,1,SHORTSTACK-031,
ShortStack,A07,4,4,SHORTSTACK-018;SHORTSTACK-010;SHORTSTACK-008;SHORTSTACK-019,
ShortStack,A08,3,3,SHORTSTACK-016;SHORTSTACK-013;SHORTSTACK-032,
ShortStack,A09,1,1,SHORTSTACK-021;SHORTSTACK-032;SHORTSTACK-031,
ShortStack,A10,0,0,SHORTSTACK-031,
ShortStack,B01,1,1,SHORTSTACK-008;SHORTSTACK-009,
ShortStack,B02,1,1,SHORTSTACK-010;SHORTSTACK-012;SHORTSTACK-013,
ShortStack,B03,0,0,SHORTSTACK-008;SHORTSTACK-031,
ShortStack,B04,1,1,SHORTSTACK-012;SHORTSTACK-015,
ShortStack,B05,1,1,SHORTSTACK-012,
ShortStack,B06,2,2,SHORTSTACK-008;SHORTSTACK-018;SHORTSTACK-027,
ShortStack,B07,1,1,SHORTSTACK-010;SHORTSTACK-023,
ShortStack,B08,0,0,SHORTSTACK-010;SHORTSTACK-012,
ShortStack,B09,1,1,SHORTSTACK-033,
ShortStack,B10,0,0,SHORTSTACK-012;SHORTSTACK-031,
ShortStack,C01,2,2,SHORTSTACK-003;SHORTSTACK-010,
ShortStack,C02,1,1,SHORTSTACK-003;SHORTSTACK-017,
ShortStack,C03,0,0,SHORTSTACK-003;SHORTSTACK-031,
ShortStack,C04,1,1,SHORTSTACK-003;SHORTSTACK-013;SHORTSTACK-033,
ShortStack,C05,?,?,,
ShortStack,C06,0,0,SHORTSTACK-030;SHORTSTACK-031,
ShortStack,C07,0,0,SHORTSTACK-031,
ShortStack,C08,1,1,SHORTSTACK-014;SHORTSTACK-015,
ShortStack,C09,0,0,SHORTSTACK-003,
ShortStack,C10,0,0,SHORTSTACK-003;SHORTSTACK-031,
ShortStack,D01,1,1,SHORTSTACK-008;SHORTSTACK-018,
ShortStack,D02,1,1,SHORTSTACK-018;SHORTSTACK-012,
ShortStack,D03,0,0,SHORTSTACK-031,
ShortStack,D04,2,2,SHORTSTACK-018;SHORTSTACK-009,
ShortStack,D05,?,?,,
ShortStack,D06,1,1,SHORTSTACK-018;SHORTSTACK-008,
ShortStack,D07,1,1,SHORTSTACK-019;SHORTSTACK-008,
ShortStack,D08,1,1,SHORTSTACK-005;SHORTSTACK-007,
ShortStack,D09,1,1,SHORTSTACK-009,
ShortStack,D10,1,1,SHORTSTACK-005,
ShortStack,E01,0,0,SHORTSTACK-031,
ShortStack,E02,1,1,SHORTSTACK-011,
ShortStack,E03,0,0,SHORTSTACK-031,
ShortStack,E04,2,2,SHORTSTACK-010;SHORTSTACK-018,
ShortStack,E05,1,1,SHORTSTACK-022,
ShortStack,E06,?,?,,
ShortStack,E07,1,1,SHORTSTACK-002;SHORTSTACK-012,
ShortStack,E08,2,2,SHORTSTACK-010;SHORTSTACK-012;SHORTSTACK-019,
ShortStack,E09,1,1,SHORTSTACK-015;SHORTSTACK-018,
ShortStack,E10,1,1,SHORTSTACK-002;SHORTSTACK-009,
ShortStack,F01,1,1,SHORTSTACK-023,
ShortStack,F02,1,1,SHORTSTACK-023,
ShortStack,F03,2,2,SHORTSTACK-021,
ShortStack,F04,2,2,SHORTSTACK-021;SHORTSTACK-032,
ShortStack,F05,?,?,,
ShortStack,F06,0,0,SHORTSTACK-023;SHORTSTACK-031,
ShortStack,F07,2,2,SHORTSTACK-021,
ShortStack,F08,0,0,SHORTSTACK-023;SHORTSTACK-031,
ShortStack,F09,0,0,SHORTSTACK-023;SHORTSTACK-031,
ShortStack,F10,1,1,SHORTSTACK-009,
ShortStack,G01,3,3,SHORTSTACK-006;SHORTSTACK-015,
ShortStack,G02,3,3,SHORTSTACK-015;SHORTSTACK-007,
ShortStack,G03,?,?,,
ShortStack,G04,2,2,SHORTSTACK-015;SHORTSTACK-014,
ShortStack,G05,1,1,SHORTSTACK-033,
ShortStack,G06,1,1,SHORTSTACK-033,
ShortStack,G07,1,1,SHORTSTACK-015;SHORTSTACK-033,
ShortStack,G08,2,2,SHORTSTACK-009,
ShortStack,G09,1,1,SHORTSTACK-007;SHORTSTACK-026,
ShortStack,G10,2,2,SHORTSTACK-005;SHORTSTACK-004,
ShortStack,H01,2,2,SHORTSTACK-008,
ShortStack,H02,0,0,SHORTSTACK-008,
ShortStack,H03,2,2,SHORTSTACK-009,
ShortStack,H04,1,1,SHORTSTACK-007;SHORTSTACK-033,
ShortStack,H05,?,?,,
ShortStack,H06,?,?,,
ShortStack,H07,?,?,,
ShortStack,H08,?,?,,
ShortStack,H09,1,1,SHORTSTACK-019;SHORTSTACK-015,
ShortStack,H10,0,0,SHORTSTACK-008;SHORTSTACK-031,
ShortStack,I01,1,1,SHORTSTACK-014;SHORTSTACK-017,
ShortStack,I02,1,1,SHORTSTACK-027;SHORTSTACK-008,
ShortStack,I03,4,4,SHORTSTACK-001;SHORTSTACK-022;SHORTSTACK-025,
ShortStack,I04,1,1,SHORTSTACK-002,
ShortStack,I05,2,2,SHORTSTACK-001;SHORTSTACK-014;SHORTSTACK-025,
ShortStack,I06,4,4,SHORTSTACK-007;SHORTSTACK-001,
ShortStack,I07,1,1,SHORTSTACK-006,
ShortStack,I08,1,1,SHORTSTACK-025;SHORTSTACK-019,
ShortStack,I09,1,1,SHORTSTACK-001;SHORTSTACK-027,
ShortStack,I10,3,3,SHORTSTACK-007,
ShortStack,J01,1,1,SHORTSTACK-003,
ShortStack,J02,1,1,SHORTSTACK-015;SHORTSTACK-014,
ShortStack,J03,1,1,SHORTSTACK-014;SHORTSTACK-015,
ShortStack,J04,0,0,SHORTSTACK-031,
ShortStack,J05,0,0,SHORTSTACK-008;SHORTSTACK-031,
ShortStack,J06,0,0,SHORTSTACK-002;SHORTSTACK-031,
ShortStack,J07,1,1,SHORTSTACK-018;SHORTSTACK-012,
ShortStack,J08,0,0,SHORTSTACK-012;SHORTSTACK-031,
ShortStack,J09,1,1,SHORTSTACK-003;SHORTSTACK-011,
ShortStack,J10,0,0,SHORTSTACK-031,
ViralSweep,A01,4,4,VIRALSWEEP-001;VIRALSWEEP-005;VIRALSWEEP-013;VIRALSWEEP-036,
ViralSweep,A02,4,4,VIRALSWEEP-001;VIRALSWEEP-002;VIRALSWEEP-036,
ViralSweep,A03,3,3,VIRALSWEEP-010,
ViralSweep,A04,2,2,VIRALSWEEP-013;VIRALSWEEP-014,
ViralSweep,A05,3,3,VIRALSWEEP-014;VIRALSWEEP-015;VIRALSWEEP-016;VIRALSWEEP-017;VIRALSWEEP-034,
ViralSweep,A06,2,2,VIRALSWEEP-015;VIRALSWEEP-026;VIRALSWEEP-034;VIRALSWEEP-037,
ViralSweep,A07,4,4,VIRALSWEEP-005;VIRALSWEEP-009;VIRALSWEEP-019;VIRALSWEEP-022;VIRALSWEEP-036,
ViralSweep,A08,3,3,VIRALSWEEP-011;VIRALSWEEP-012;VIRALSWEEP-015;VIRALSWEEP-040,
ViralSweep,A09,2,2,VIRALSWEEP-015,
ViralSweep,A10,2,2,VIRALSWEEP-015;VIRALSWEEP-034,
ViralSweep,B01,1,1,VIRALSWEEP-005;VIRALSWEEP-007;VIRALSWEEP-024,
ViralSweep,B02,1,1,VIRALSWEEP-008;VIRALSWEEP-009;VIRALSWEEP-022,
ViralSweep,B03,0,0,VIRALSWEEP-025,
ViralSweep,B04,1,1,VIRALSWEEP-005;VIRALSWEEP-008,
ViralSweep,B05,1,1,VIRALSWEEP-009;VIRALSWEEP-011,
ViralSweep,B06,2,2,VIRALSWEEP-005;VIRALSWEEP-022;VIRALSWEEP-024,
ViralSweep,B07,2,2,VIRALSWEEP-003;VIRALSWEEP-005;VIRALSWEEP-009,
ViralSweep,B08,0,0,VIRALSWEEP-036,
ViralSweep,B09,1,1,VIRALSWEEP-003;VIRALSWEEP-019,
ViralSweep,B10,0,0,VIRALSWEEP-036,
ViralSweep,C01,1,1,VIRALSWEEP-008;VIRALSWEEP-013;VIRALSWEEP-039,
ViralSweep,C02,0,0,VIRALSWEEP-017;VIRALSWEEP-034,
ViralSweep,C03,0,0,VIRALSWEEP-017;VIRALSWEEP-036,
ViralSweep,C04,1,1,VIRALSWEEP-005;VIRALSWEEP-013,
ViralSweep,C05,1,1,VIRALSWEEP-005,
ViralSweep,C06,1,1,VIRALSWEEP-015;VIRALSWEEP-039,
ViralSweep,C07,0,0,VIRALSWEEP-036,
ViralSweep,C08,1,1,VIRALSWEEP-014;VIRALSWEEP-015,
ViralSweep,C09,0,0,VIRALSWEEP-013,
ViralSweep,C10,0,0,VIRALSWEEP-013;VIRALSWEEP-036,
ViralSweep,D01,1,1,VIRALSWEEP-005;VIRALSWEEP-036,
ViralSweep,D02,1,1,VIRALSWEEP-005;VIRALSWEEP-007,
ViralSweep,D03,0,0,VIRALSWEEP-014;VIRALSWEEP-036,
ViralSweep,D04,2,2,VIRALSWEEP-005;VIRALSWEEP-007;VIRALSWEEP-018,
ViralSweep,D05,1,1,VIRALSWEEP-009,
ViralSweep,D06,1,1,VIRALSWEEP-005;VIRALSWEEP-011,
ViralSweep,D07,1,1,VIRALSWEEP-011;VIRALSWEEP-015,
ViralSweep,D08,1,1,VIRALSWEEP-018;VIRALSWEEP-019,
ViralSweep,D09,0,0,VIRALSWEEP-019;VIRALSWEEP-036,
ViralSweep,D10,0,0,VIRALSWEEP-036,
ViralSweep,E01,1,1,VIRALSWEEP-023,
ViralSweep,E02,1,1,VIRALSWEEP-013;VIRALSWEEP-022,
ViralSweep,E03,1,1,VIRALSWEEP-022;VIRALSWEEP-028,
ViralSweep,E04,2,2,VIRALSWEEP-008,
ViralSweep,E05,?,?,,
ViralSweep,E06,0,0,VIRALSWEEP-008,
ViralSweep,E07,2,2,VIRALSWEEP-009;VIRALSWEEP-011,
ViralSweep,E08,2,2,VIRALSWEEP-009;VIRALSWEEP-023;VIRALSWEEP-036,
ViralSweep,E09,1,1,VIRALSWEEP-009,
ViralSweep,E10,1,1,VIRALSWEEP-022,
ViralSweep,F01,1,1,VIRALSWEEP-005,
ViralSweep,F02,1,1,VIRALSWEEP-005,
ViralSweep,F03,1,1,VIRALSWEEP-010;VIRALSWEEP-011,
ViralSweep,F04,2,2,VIRALSWEEP-025,
